;Chapter Sec;Chapter ID;Chapter Type;Chapter Requirement;Function Sec;Function ID;Function Type;Function Requirement;Hazard Sec;Hazard ID;Hazard Type;Hazard Requirement;Cause Sec;Cause ID;Cause Type;Cause Requirement;Measure Sec;Measure ID;Measure Type;Measure Requirement;Measure Description
0;4.1;563430;Chapter;Move trolley;4.1.1;569143;Function;Move trolley;4.1.1.1;561941;Hazard;Crushing due to trolley tipping over;4.1.1.1.1;561942;Cause;Movement over inclined surface or monitor movement changes the center of gravity of the trolley;4.1.1.1.1.1;561943;Measure;Trolley design prevents overbalance;The trolley must be designed in a way that prevents tipping over when placed in any transport position on an inclined plane at an angle of 10 Â°.   
1;4.1;563430;Chapter;Move trolley;4.1.1;569143;Function;Move trolley;4.1.1.2;561944;Hazard;Crushing through tilting of the device;4.1.1.2.1;561947;Cause;Increase of tilt moment due to additional weight;4.1.1.2.1.1;561949;Measure;Design of the trolley;The trolley must be designed in a way that prevents tilting of the trolley when driving it over an inclined plane (i.e.  ramp).   Â Remark:Compliance with DIN EN 60601-1 tilt test
2;4.1;563430;Chapter;Move trolley;4.1.1;569143;Function;Move trolley;4.1.1.2;561944;Hazard;Crushing through tilting of the device;4.1.1.2.2;561950;Cause;Moving the trolley over a doorstep, against a doorframe, wall or other equipment;4.1.1.2.2.1;561951;Measure;Rough handling test trolley;The trolley shall be designed to comply with IEC 60601-1Â cl.    15.   3.   5.   Assumed speed of the trolley: 0,8 m/s +/- 0,1 m/s
59;4.10;563628;Chapter;System operation - general;4.10.1;563631;Function;System operation - general;4.10.1.4;597013;Hazard;User has skin irritation;4.10.1.4.1;597014;Cause;System contains non-biocompatible material;4.10.1.4.1.1;597019;Measure;Biocompatible material;The clinical user and the service personnel get in regularÂ hand skinÂ contact with the following components of the system: AccesS (RCP cart, Keyboard, Mouse), DSmonS (Monitor), GridS, HICSwitch, HICTouchCon, MainU (Covers), TrolleyU (Covers, X10 cable and plug), HICForceControl, HICHandControl,Â These components shall be made out of biocompatible material or at least it shall be shown that the utilized material is in common use forÂ regular consumer products or that there is an established history of safe use in a clinical environment, e.g. Â from previous CIOS systems.   
58;4.10;563628;Chapter;System operation - general;4.10.1;563631;Function;System operation - general;4.10.1.3;597002;Hazard;Effect on people with implants, e.g. pacemaker;4.10.1.3.1;597003;Cause;Interference of electromagnetic fields into implant/s electronics;4.10.1.3.1.4;597011;Measure;Factory Doc: Electromagnetic fields Chassis;CAUTION in Factory DocumentationÂ Cause: The chassis contains electromagnetic components with high magnetic near fields (Drives and brakes of angular and orbital axes,Â chassis wheels), which might have an influence on implant devices such as cardiac pacemakers.   Â Possible consequences:Â HazardsÂ on people with implants due to electromagnetic disturbances.   Â Remedy:Â If you have active implanted cardiac devices keep a distance of >10 cm to the above mentioned components.   
57;4.10;563628;Chapter;System operation - general;4.10.1;563631;Function;System operation - general;4.10.1.3;597002;Hazard;Effect on people with implants, e.g. pacemaker;4.10.1.3.1;597003;Cause;Interference of electromagnetic fields into implant/s electronics;4.10.1.3.1.3;597007;Measure;Service Doc: Electromagnetic fields Chassis;CAUTION in Service ManualÂ Cause: The chassis contains electromagnetic components with high magnetic near fields (Drives and brakes of angular and orbital axes,Â chassis wheels), which might have an influence on implant devices such as cardiac pacemakers.   Â Possible consequences:Â HazardsÂ on people with implants due to electromagnetic disturbances.   Â Remedy:Â If you have active implanted cardiac devices keep a distance of >10 cm to the above mentioned components.   
56;4.10;563628;Chapter;System operation - general;4.10.1;563631;Function;System operation - general;4.10.1.3;597002;Hazard;Effect on people with implants, e.g. pacemaker;4.10.1.3.1;597003;Cause;Interference of electromagnetic fields into implant/s electronics;4.10.1.3.1.2;597005;Measure;User Manual: Electromagnetic fields Chassis;CAUTIONÂ Cause: The chassis contains electromagnetic components with high magnetic near fields (Drives and brakes of angular and orbital axes,Â chassis wheels), which might have an influence on implant devices such as cardiac pacemakers.   Â Possible consequences:Â HazardsÂ on people with implants due to electromagnetic disturbances.   Â Remedy:Â If you have active implanted cardiac devices keep a distance ofÂ >10 cm to the above mentioned components.   
55;4.10;563628;Chapter;System operation - general;4.10.1;563631;Function;System operation - general;4.10.1.3;597002;Hazard;Effect on people with implants, e.g. pacemaker;4.10.1.3.1;597003;Cause;Interference of electromagnetic fields into implant/s electronics;4.10.1.3.1.1;597004;Measure;Label electromagnetic fields;A label shall be attached at the backside of the chassis, such that it is visible to an operator when moving the system.    It shall contain the following safety signs: ISO 7010-P007, ISO 7010-W006, ISO 7010-W001, ISO 7010-M002
54;4.10;563628;Chapter;System operation - general;4.10.1;563631;Function;System operation - general;4.10.1.2;578748;Hazard;Limited imaging functionality;4.10.1.2.1;578749;Cause;Performance of the imaging system is degraded due to system mangement application;4.10.1.2.1.1;578750;Measure;Boundary conditions for imaging system performance test;During all phases of the imaging system performance test, the MNP has to be installed and be active all the time to verify that MNP does not disturb the overall system performance.   
53;4.10;563628;Chapter;System operation - general;4.10.1;563631;Function;System operation - general;4.10.1.1;563627;Hazard;Crushing by or collision with falling or tipping objects with high potential energy and / or high contact pressure (HS_051);4.10.1.1.1;563629;Cause;Mechanical support structures of the wheels break, the system suddenly tips to one side or tips over completely;4.10.1.1.1.1;561959;Measure;Mechanical design drive and wheels;The gear, motor shaft and castors shall be designed appropriately for mechanical stress according to IEC 60601-1 cl.    9.   8.   2.   
